L,J,NX,NY,rR_random,rH_random,rR_hosthost,rH_phagephage,rH_phagehost,rH_3body,GenePersisentTime
20.0,5.0,1000000.0,1000000.0,0.0,0.0,1e-05,0.0,1e-05,0.0,34816.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,1.258925411794167e-05,0.0,1.258925411794167e-05,0.0,353896.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,1.584893192461113e-05,0.0,1.584893192461113e-05,0.0,7749509.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,2.51188643150958e-05,0.0,2.51188643150958e-05,0.0,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,3.162277660168379e-05,0.0,3.162277660168379e-05,0.0,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,3.548133892335754e-05,0.0,3.548133892335754e-05,0.0,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,3.981071705534972e-05,0.0,3.981071705534972e-05,0.0,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,4.466835921509631e-05,0.0,4.466835921509631e-05,0.0,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,5.62341325190349e-05,0.0,5.62341325190349e-05,0.0,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,7.943282347242815e-05,0.0,7.943282347242815e-05,0.0,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,1e-05,1e-05,0.0,0.0,8355.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,8.91250938133745e-06,0.0,0.0,8.91250938133745e-06,6794.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,1.122018454301963e-05,0.0,0.0,1.122018454301963e-05,8662.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,1.412537544622754e-05,0.0,0.0,1.412537544622754e-05,14617.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,2.51188643150958e-05,0.0,0.0,2.51188643150958e-05,199766.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,2.818382931264453e-05,0.0,0.0,2.818382931264453e-05,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,5.62341325190349e-05,0.0,0.0,5.62341325190349e-05,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,6.309573444801932e-05,0.0,0.0,6.309573444801932e-05,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,8.912509381337455e-05,0.0,0.0,8.912509381337455e-05,10000000.0
20.0,5.0,1000000.0,1000000.0,0.0,0.0,3.54813389233575e-06,0.0,3.54813389233575e-06,0.0,5508.0
